Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
Frameries,7080.0,0.0,house,house,97500.0,,5.0,133.0,,,,,80.0,2.0,,10669714.0,good,https://www.immoweb.be/en/classified/house/for-sale/frameries/7080/10669714
Sint-Lievens-Houtem,9520.0,1.0,house,house,249000.0,,3.0,315.0,1.0,,,,448.0,3.0,,10669910.0,good,https://www.immoweb.be/en/classified/house/for-sale/sint-lievens-houtem/9520/10669910
WÉPION,5100.0,1.0,house,villa,380000.0,,3.0,160.0,1.0,100.0,1.0,800.0,1880.0,4.0,,10671002.0,good,https://www.immoweb.be/en/classified/villa/for-sale/w%C3%89pion/5100/10671002
Bruxelles,1000.0,1.0,apartment,apartment,345000.0,,1.0,53.0,,,,,,2.0,,10503299.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10503299
Lokeren,9160.0,1.0,house,house,350000.0,,4.0,177.0,,,1.0,332.0,503.0,4.0,,10669782.0,good,https://www.immoweb.be/en/classified/house/for-sale/lokeren/9160/10669782
Evere,1140.0,,house,house,199000.0,,1.0,42.0,,,,,0.0,,,10670258.0,good,https://www.immoweb.be/en/classified/house/for-sale/evere/1140/10670258
De Haan,8420.0,1.0,house,house,485000.0,,4.0,188.0,1.0,60.0,1.0,250.0,506.0,4.0,,10671058.0,as new,https://www.immoweb.be/en/classified/house/for-sale/de%20haan/8420/10671058
Wavre,1300.0,1.0,house,villa,499000.0,,4.0,255.0,,,,,815.0,4.0,,10671018.0,good,https://www.immoweb.be/en/classified/villa/for-sale/wavre/1300/10671018
Herzele,9550.0,1.0,house,house,345000.0,,3.0,225.0,1.0,,,,1951.0,3.0,,10670570.0,good,https://www.immoweb.be/en/classified/house/for-sale/herzele/9550/10670570
Kraainem,1950.0,1.0,house,villa,895000.0,,5.0,240.0,1.0,37.0,1.0,250.0,503.0,4.0,,10670331.0,good,https://www.immoweb.be/en/classified/villa/for-sale/kraainem/1950/10670331
Liege,4020.0,1.0,house,mansion,560000.0,,5.0,275.0,1.0,55.0,1.0,110.0,391.0,3.0,,10669161.0,good,https://www.immoweb.be/en/classified/mansion/for-sale/liege/4020/10669161
SCHERPENHEUVEL-ZICHEM,3270.0,1.0,house,house,349000.0,,3.0,182.0,,,,,1196.0,4.0,,10644005.0,good,https://www.immoweb.be/en/classified/house/for-sale/scherpenheuvel-zichem/3270/10644005
Wilsele,3012.0,1.0,house,house,399000.0,,2.0,151.0,1.0,,1.0,240.0,539.0,4.0,,10644234.0,,https://www.immoweb.be/en/classified/house/for-sale/wilsele/3012/10644234
Beersel,1650.0,1.0,house,house,298000.0,,3.0,271.0,,,,,349.0,4.0,,10650350.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10650350
Vielsalm,6690.0,1.0,house,exceptional property,595000.0,isUnderOption,3.0,266.0,1.0,,,,1650.0,4.0,1.0,10643307.0,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/vielsalm/6690/10643307
Liege,4020.0,1.0,house,house,189000.0,,4.0,113.0,1.0,14.0,,,110.0,3.0,,10643412.0,good,https://www.immoweb.be/en/classified/house/for-sale/liege/4020/10643412
Villers-la-Ville,1495.0,1.0,house,house,595000.0,,4.0,210.0,1.0,,,,1634.0,4.0,,10644218.0,good,https://www.immoweb.be/en/classified/house/for-sale/villers-la-ville/1495/10644218
Herentals,2200.0,1.0,house,villa,675000.0,,3.0,332.0,1.0,,,,1090.0,4.0,,10644813.0,good,https://www.immoweb.be/en/classified/villa/for-sale/herentals/2200/10644813
Duffel,2570.0,1.0,house,house,380000.0,isUnderOption,3.0,208.0,,,,,1225.0,4.0,,10643949.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/duffel/2570/10643949
WIDEUMONT VILLAGE,6800.0,1.0,house,house,199000.0,,3.0,73.0,,,,,363.0,3.0,,10654576.0,good,https://www.immoweb.be/en/classified/house/for-sale/wideumont%20village/6800/10654576
Overijse,3090.0,1.0,house,villa,799000.0,isUnderOption,4.0,245.0,1.0,183.0,1.0,2288.0,2686.0,4.0,1.0,10644995.0,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/overijse/3090/10644995
Bruxelles,1000.0,1.0,apartment,ground floor,349000.0,isUnderOption,2.0,100.0,1.0,40.0,,,,2.0,,10575978.0,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/bruxelles/1000/10575978
Chaumont-Gistoux,1325.0,1.0,house,villa,449000.0,,3.0,140.0,1.0,,1.0,654.0,654.0,4.0,,10643744.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/chaumont-gistoux/1325/10643744
Ronse,9600.0,1.0,house,house,168000.0,,3.0,135.0,,,,,81.0,,,10650214.0,good,https://www.immoweb.be/en/classified/house/for-sale/ronse/9600/10650214
BELLEVAUX,6834.0,0.0,house,house,125000.0,isUnderOption,5.0,173.0,1.0,,,,1216.0,3.0,,10655658.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/bellevaux/6834/10655658
Enghien,7850.0,0.0,house,mixed use building,750000.0,,4.0,691.0,1.0,,,,470.0,2.0,,10649001.0,to renovate,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/enghien/7850/10649001
Nivelles,1400.0,,apartment,apartment,345000.0,isUnderOption,2.0,90.0,1.0,6.0,,,,2.0,,10637508.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/nivelles/1400/10637508
Meise,1860.0,1.0,house,house,599000.0,,4.0,200.0,,,1.0,550.0,703.0,,,10648435.0,just renovated,https://www.immoweb.be/en/classified/house/for-sale/meise/1860/10648435
De Pinte,9840.0,,apartment,apartment,350000.0,,2.0,120.0,,,1.0,150.0,,,,10638465.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/de%20pinte/9840/10638465
Schaerbeek,1030.0,1.0,apartment,apartment,349000.0,isUnderOption,3.0,121.0,1.0,15.0,,,,2.0,,10527715.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10527715
Anderlecht,1070.0,1.0,apartment,apartment,362500.0,,3.0,119.0,1.0,16.0,,,,4.0,,10127725.0,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10127725
Gent,9000.0,1.0,apartment,ground floor,365000.0,,2.0,81.0,1.0,6.0,,,,2.0,,10614890.0,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/gent/9000/10614890
Anderlecht,1070.0,1.0,apartment,apartment,370000.0,,3.0,118.0,1.0,37.0,,,,4.0,,10527314.0,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10527314
Ixelles,1050.0,1.0,apartment,apartment,366000.0,isUnderOption,3.0,123.0,1.0,3.0,,,,2.0,,10557269.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10557269
Anderlecht,1070.0,1.0,apartment,apartment,362500.0,,3.0,119.0,1.0,16.0,,,,4.0,,10428479.0,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10428479
Anderlecht,1070.0,1.0,apartment,apartment,370000.0,,3.0,118.0,1.0,37.0,,,,4.0,,10428478.0,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10428478
Anderlecht,1070.0,1.0,apartment,kot,372500.0,,3.0,118.0,1.0,19.0,,,,4.0,,10527316.0,,https://www.immoweb.be/en/classified/kot/for-sale/anderlecht/1070/10527316
Anderlecht,1070.0,1.0,apartment,kot,370000.0,,3.0,118.0,1.0,37.0,,,,4.0,,10527317.0,,https://www.immoweb.be/en/classified/kot/for-sale/anderlecht/1070/10527317
Nieuwpoort,8620.0,1.0,apartment,apartment,382000.0,,2.0,82.0,1.0,4.0,,,,4.0,,10409955.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/10409955
BRUXELLES,1000.0,1.0,apartment,apartment,393000.0,,2.0,96.0,1.0,8.0,,,,2.0,,10462628.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10462628
Brussels City,1000.0,1.0,apartment,loft,370000.0,,3.0,135.0,1.0,,,,,4.0,,10625364.0,good,https://www.immoweb.be/en/classified/loft/for-sale/brussels%20city/1000/10625364
Ixelles,1050.0,1.0,apartment,service flat,395000.0,,2.0,85.0,1.0,,,,,4.0,,9912312.0,good,https://www.immoweb.be/en/classified/service-flat/for-sale/ixelles/1050/9912312
Evere,1140.0,1.0,apartment,apartment,379000.0,,2.0,98.0,1.0,70.0,1.0,50.0,,3.0,,10578249.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10578249
Sint-Jans-Molenbeek,1080.0,1.0,apartment,loft,370000.0,,3.0,135.0,1.0,,,,,4.0,,10597375.0,good,https://www.immoweb.be/en/classified/loft/for-sale/sint-jans-molenbeek/1080/10597375
Schaerbeek,1030.0,1.0,apartment,apartment,380000.0,,3.0,122.0,1.0,27.0,1.0,25.0,,4.0,,10568689.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10568689
Woluwe-Saint-Lambert,1200.0,1.0,apartment,ground floor,390000.0,isUnderOption,2.0,110.0,1.0,4.0,,,,2.0,,10299103.0,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/woluwe-saint-lambert/1200/10299103
Anderlecht,1070.0,1.0,apartment,apartment,372500.0,,3.0,118.0,1.0,19.0,,,,4.0,,10527315.0,,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10527315
Jette,1090.0,1.0,apartment,loft,395000.0,isUnderOption,4.0,179.0,1.0,11.0,1.0,200.0,,2.0,,9437761.0,good,https://www.immoweb.be/en/classified/loft/for-sale/jette/1090/9437761
Woluwe-Saint-Lambert,1200.0,1.0,apartment,apartment,399000.0,,2.0,109.0,1.0,5.0,,,,,,10642637.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10642637
Schaerbeek,1030.0,1.0,apartment,apartment,380000.0,,3.0,122.0,1.0,,,,,4.0,,10481566.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10481566
Jette,1090.0,1.0,apartment,loft,395000.0,isUnderOption,4.0,179.0,1.0,11.0,1.0,200.0,,2.0,,9332176.0,good,https://www.immoweb.be/en/classified/loft/for-sale/jette/1090/9332176
Zaventem,1930.0,1.0,apartment,apartment,397000.0,,2.0,137.0,,,1.0,50.0,,3.0,,10621567.0,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/zaventem/1930/10621567
WIDEUMONT VILLAGE,6800.0,1.0,house,house,210000.0,,4.0,101.0,,,,,357.0,3.0,,10654575.0,good,https://www.immoweb.be/en/classified/house/for-sale/wideumont%20village/6800/10654575
Londerzeel,1840.0,1.0,house,house,339000.0,isUnderOption,3.0,136.0,1.0,,,,186.0,2.0,,10654260.0,good,https://www.immoweb.be/en/classified/house/for-sale/londerzeel/1840/10654260
Mechelen,2800.0,1.0,house,house,279000.0,,3.0,119.0,,,,,95.0,2.0,,10655048.0,just renovated,https://www.immoweb.be/en/classified/house/for-sale/mechelen/2800/10655048
Gent,9000.0,1.0,house,house,289000.0,,3.0,130.0,,,,,59.0,2.0,,10654985.0,just renovated,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10654985
Etterbeek,1040.0,1.0,apartment,duplex,425000.0,isUnderOption,2.0,105.0,,,,,,2.0,,10379498.0,as new,https://www.immoweb.be/en/classified/duplex/for-sale/etterbeek/1040/10379498
Libramont-Chevigny,6800.0,1.0,house,country cottage,375000.0,,4.0,281.0,,,,,1780.0,4.0,,10653950.0,to be done up,https://www.immoweb.be/en/classified/country-cottage/for-sale/libramont-chevigny/6800/10653950
Mechelen,2800.0,1.0,apartment,loft,410000.0,isUnderOption,2.0,127.0,1.0,18.0,,,,,,10574957.0,good,https://www.immoweb.be/en/classified/loft/for-sale/mechelen/2800/10574957
La Bruyère Rhisnes,5080.0,1.0,house,house,395000.0,,4.0,134.0,1.0,30.0,1.0,700.0,962.0,4.0,,10653835.0,good,https://www.immoweb.be/en/classified/house/for-sale/la%20bruy%C3%A8re%20rhisnes/5080/10653835
Woluwe-Saint-Lambert,1200.0,1.0,apartment,apartment,425000.0,isUnderOption,3.0,125.0,1.0,20.0,,,,2.0,,10513918.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10513918
Mechelen,2800.0,1.0,apartment,apartment,410000.0,isUnderOption,2.0,127.0,1.0,18.0,,,,,,10574958.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/mechelen/2800/10574958
NIEUWMUNSTER,8370.0,1.0,house,house,239000.0,,3.0,165.0,,,,,0.0,2.0,,10655301.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/nieuwmunster/8370/10655301
Sint-Lievens-Houtem,9520.0,,house,house,219000.0,,2.0,165.0,1.0,,1.0,280.0,380.0,3.0,,10550268.0,,https://www.immoweb.be/en/classified/house/for-sale/sint-lievens-houtem/9520/10550268
Antwerpen,2600.0,1.0,house,house,379000.0,,3.0,119.0,1.0,20.0,,,67.0,2.0,,10655343.0,as new,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2600/10655343
Vilvoorde,1800.0,1.0,house,house,445000.0,isUnderOption,3.0,145.0,1.0,60.0,1.0,87.0,319.0,3.0,,10655721.0,just renovated,https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/10655721
Gent,9000.0,1.0,house,house,458000.0,,4.0,163.0,1.0,,,,172.0,2.0,,10655782.0,,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10655782
Molenbeek-Saint-Jean,1080.0,1.0,house,mixed use building,450000.0,,5.0,220.0,1.0,10.0,,,65.0,2.0,,10653681.0,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/molenbeek-saint-jean/1080/10653681
Antwerp,2060.0,1.0,house,mixed use building,469000.0,,4.0,187.0,1.0,2.0,1.0,37.0,0.0,2.0,,10654673.0,just renovated,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/antwerp/2060/10654673
Antwerp,2060.0,1.0,house,house,469000.0,,4.0,187.0,1.0,2.0,1.0,37.0,0.0,2.0,,10654671.0,just renovated,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2060/10654671
Berchem-Sainte-Agathe,1082.0,1.0,house,house,560000.0,,3.0,160.0,,,1.0,63.0,223.0,2.0,,10655426.0,as new,https://www.immoweb.be/en/classified/house/for-sale/berchem-sainte-agathe/1082/10655426
Antwerp,2060.0,1.0,house,mixed use building,469000.0,,4.0,187.0,1.0,2.0,1.0,37.0,0.0,2.0,,10654672.0,just renovated,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/antwerp/2060/10654672
Waterloo,1410.0,1.0,house,villa,1050000.0,,5.0,400.0,1.0,100.0,1.0,630.0,810.0,4.0,,10654364.0,just renovated,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/10654364
Zele,9240.0,,house,house,775000.0,,5.0,459.0,1.0,,,,1997.0,4.0,,10653649.0,good,https://www.immoweb.be/en/classified/house/for-sale/zele/9240/10653649
Enghien,7850.0,1.0,house,exceptional property,1395000.0,,6.0,350.0,1.0,100.0,,,2857.0,4.0,1.0,10654440.0,as new,https://www.immoweb.be/en/classified/exceptional-property/for-sale/enghien/7850/10654440
Ixelles,1050.0,1.0,house,house,575000.0,,6.0,230.0,,,,,0.0,2.0,,10654164.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/10654164
Brasschaat,2930.0,1.0,house,villa,1660000.0,,4.0,451.0,,,,,4085.0,4.0,,10655666.0,as new,https://www.immoweb.be/en/classified/villa/for-sale/brasschaat/2930/10655666
Bruxelles,1000.0,1.0,house,house,595000.0,,4.0,293.0,1.0,16.0,1.0,70.0,245.0,2.0,,10655471.0,good,https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10655471
Woluwe-Saint-Pierre,1150.0,,house,apartment block,2200000.0,,12.0,552.0,1.0,,1.0,350.0,927.0,3.0,,10653848.0,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/woluwe-saint-pierre/1150/10653848
Rhode-Saint-Genese,1640.0,1.0,apartment,ground floor,429000.0,,2.0,151.0,,,1.0,400.0,,2.0,,10204511.0,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/rhode-saint-genese/1640/10204511
Schaerbeek,1030.0,1.0,apartment,ground floor,430000.0,,3.0,131.0,1.0,8.0,1.0,25.0,,3.0,,10641184.0,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/schaerbeek/1030/10641184
Uccle,1180.0,1.0,apartment,apartment,435000.0,,3.0,135.0,1.0,17.0,1.0,50.0,,3.0,,10583666.0,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10583666
Gent,9000.0,1.0,apartment,apartment,425000.0,,3.0,105.0,,,,,,2.0,,10611447.0,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10611447
Uccle,1180.0,1.0,apartment,apartment,449000.0,,3.0,114.0,1.0,8.0,1.0,25.0,,3.0,,10580227.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10580227
Londerzeel,1840.0,1.0,apartment,apartment,450000.0,,4.0,180.0,,,,,,3.0,,10446353.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/londerzeel/1840/10446353
Uccle,1180.0,1.0,apartment,apartment,445000.0,,2.0,92.0,1.0,14.0,1.0,123.0,,,,10550936.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10550936
Mechelen,2800.0,1.0,apartment,loft,465000.0,,1.0,200.0,1.0,18.0,,,,2.0,,10636495.0,as new,https://www.immoweb.be/en/classified/loft/for-sale/mechelen/2800/10636495
Leuven,3000.0,,apartment,apartment,465000.0,,1.0,130.0,1.0,9.0,,,,3.0,,10577709.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/leuven/3000/10577709
Blankenberge,8370.0,1.0,apartment,apartment,495000.0,,2.0,79.0,1.0,12.0,,,,2.0,,10261137.0,,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10261137
Vilvoorde,1800.0,1.0,apartment,loft,480000.0,isUnderOption,2.0,180.0,1.0,90.0,,,,2.0,,10319971.0,as new,https://www.immoweb.be/en/classified/loft/for-sale/vilvoorde/1800/10319971
Bruxelles,1000.0,1.0,apartment,apartment,489999.0,,3.0,115.0,1.0,27.0,,,,2.0,,10563228.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10563228
Antwerp,2000.0,1.0,apartment,apartment,495000.0,,2.0,77.0,1.0,36.0,,,,,,10638047.0,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10638047
Sint-Michiels,8200.0,,apartment,apartment,500000.0,,4.0,200.0,1.0,20.0,,,,2.0,,10494633.0,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/sint-michiels/8200/10494633
Leuven,3000.0,,apartment,loft,465000.0,,1.0,130.0,1.0,9.0,,,,3.0,,10577710.0,just renovated,https://www.immoweb.be/en/classified/loft/for-sale/leuven/3000/10577710
Bruxelles,1000.0,1.0,apartment,apartment,510000.0,,2.0,,1.0,8.0,,,,2.0,,10570303.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10570303
Ixelles,1050.0,1.0,apartment,ground floor,575000.0,isUnderOption,3.0,155.0,1.0,14.0,,,,3.0,,10393305.0,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/ixelles/1050/10393305
Bruxelles,1000.0,1.0,apartment,apartment,510000.0,,4.0,161.0,,,,,,4.0,,10557468.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10557468
La Hulpe,1310.0,1.0,apartment,apartment,549000.0,,3.0,147.0,,,,,,3.0,,10620882.0,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/la%20hulpe/1310/10620882
BRUXELLES,1000.0,1.0,apartment,apartment,550000.0,,2.0,82.0,1.0,25.0,,,,2.0,,10382974.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10382974
Knokke-Heist,8300.0,1.0,apartment,apartment,565000.0,,2.0,75.0,1.0,,,,,2.0,,10626147.0,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10626147
Brussels City,1000.0,1.0,apartment,apartment,580000.0,,3.0,132.0,1.0,15.0,,,,4.0,,9543345.0,,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/9543345
Brussels City,1000.0,1.0,apartment,apartment,560000.0,,3.0,129.0,1.0,15.0,,,,4.0,,9544800.0,,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/9544800
Brussels City,1000.0,1.0,apartment,apartment,635000.0,,3.0,108.0,1.0,10.0,,,,2.0,,10573836.0,,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10573836
Auderghem,1160.0,1.0,apartment,triplex,585000.0,,4.0,155.0,1.0,6.0,1.0,40.0,,3.0,,10438261.0,to be done up,https://www.immoweb.be/en/classified/triplex/for-sale/auderghem/1160/10438261
Kortrijk,8500.0,1.0,apartment,loft,575000.0,,3.0,157.0,1.0,26.0,,,,3.0,1.0,10634138.0,as new,https://www.immoweb.be/en/classified/loft/for-sale/kortrijk/8500/10634138
Ixelles,1050.0,1.0,apartment,duplex,580000.0,,2.0,141.0,,,,,,2.0,,10587329.0,good,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10587329
Uccle,1180.0,1.0,apartment,apartment,615000.0,,2.0,114.0,1.0,11.0,,,,3.0,,10472824.0,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10472824
SINT-GENESIUS-RODE,1640.0,1.0,apartment,apartment,639000.0,,4.0,282.0,1.0,,1.0,230.0,,3.0,,10515173.0,good,https://www.immoweb.be/en/classified/apartment/for-sale/sint-genesius-rode/1640/10515173
Ixelles,1050.0,1.0,apartment,duplex,595000.0,,4.0,151.0,1.0,25.0,,,,,,10333986.0,just renovated,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10333986
Kieldrecht,9130.0,1.0,house,house,396000.0,,4.0,,1.0,,,,334.0,3.0,,10662812.0,good,https://www.immoweb.be/en/classified/house/for-sale/kieldrecht/9130/10662812
Middelkerke,8430.0,1.0,house,house,169000.0,,4.0,115.0,,,,,92.0,2.0,,10667282.0,as new,https://www.immoweb.be/en/classified/house/for-sale/middelkerke/8430/10667282
Gent,9000.0,1.0,house,mansion,1395000.0,,5.0,295.0,,,1.0,108.0,203.0,2.0,,10657259.0,as new,https://www.immoweb.be/en/classified/mansion/for-sale/gent/9000/10657259
Jambes,5100.0,1.0,house,house,290000.0,,3.0,120.0,,,1.0,650.0,1273.0,4.0,,10659958.0,to renovate,https://www.immoweb.be/en/classified/house/for-sale/jambes/5100/10659958
Wetteren,9230.0,1.0,house,house,249000.0,,3.0,166.0,1.0,185.0,1.0,185.0,0.0,2.0,,10667385.0,good,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/10667385
Oostende,8400.0,1.0,house,house,339000.0,,3.0,153.0,1.0,25.0,1.0,80.0,180.0,2.0,,10668226.0,as new,https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/10668226
Hombeek,2811.0,1.0,house,house,369000.0,,3.0,140.0,1.0,24.0,,,0.0,,,10666162.0,as new,https://www.immoweb.be/en/classified/house/for-sale/hombeek/2811/10666162
Bertrix,6880.0,1.0,house,house,189000.0,,3.0,100.0,,,,,276.0,3.0,,10667632.0,good,https://www.immoweb.be/en/classified/house/for-sale/bertrix/6880/10667632
