Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Terrace area,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Sombreffe,5140,,house,house,325000,isUnderOption,3,160,1,,,,1158,4,,10426128,,https://www.immoweb.be/en/classified/house/for-sale/sombreffe/5140/10426128
,Oostende,8400,1,house,house,325000,,4,182,1,16,,,75,,,10402294,as new,https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/10402294
,Elst,9660,1,house,house,319000,,3,170,1,39,,,131,,,10611989,as new,https://www.immoweb.be/en/classified/house/for-sale/elst/9660/10611989
,Brakel,9600,1,house,house,319000,,3,170,1,39,,,131,,,10614144,as new,https://www.immoweb.be/en/classified/house/for-sale/brakel/9600/10614144
,Kruisem,9750,1,house,house,325000,,3,160,1,27,,,119,,,10591474,as new,https://www.immoweb.be/en/classified/house/for-sale/kruisem/9750/10591474
,Ardooie,8850,1,house,house,325000,isUnderOption,5,181,1,,,,166,,,10637635,good,https://www.immoweb.be/en/classified/house/for-sale/ardooie/8850/10637635
,Haneffe (Donceel),4357,,house,house,329000,,4,230,,,,,3000,4,,10615184,to be done up,https://www.immoweb.be/en/classified/house/for-sale/haneffe%20%28donceel%29/4357/10615184
,Dolembreux,4140,1,house,villa,339000,isUnderOption,4,136,1,40,1,900,1027,,,9759636,good,https://www.immoweb.be/en/classified/villa/for-sale/dolembreux/4140/9759636
,Hoegaarden,3320,1,house,house,339000,,3,162,,,,,348,,,10442812,as new,https://www.immoweb.be/en/classified/house/for-sale/hoegaarden/3320/10442812
,Blankenberge,8370,1,house,house,339000,,8,384,1,,,,158,,,10594423,as new,https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/10594423
,Avelgem,8580,1,house,house,335000,,2,140,1,10,,,0,2,,10464464,to be done up,https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/10464464
,Diksmuide,8600,1,house,house,329000,,3,134,1,,,,995,,,10553600,good,https://www.immoweb.be/en/classified/house/for-sale/diksmuide/8600/10553600
,Avelgem,8580,1,house,house,335000,,2,140,1,10,,,0,2,,10623565,to be done up,https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/10623565
,Aarschot,3200,1,house,house,330000,,3,163,1,15,1,100,210,,,10602266,as new,https://www.immoweb.be/en/classified/house/for-sale/aarschot/3200/10602266
,Aalst,9300,1,house,house,339000,isUnderOption,3,190,1,,,,150,,,10411111,as new,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10411111
,Gouvy,6670,,house,house,340000,isUnderOption,3,170,1,,,,1078,4,,10637786,,https://www.immoweb.be/en/classified/house/for-sale/gouvy/6670/10637786
,Grâce-Hollogne,4460,1,apartment,apartment,165000,,2,97,1,24,,,,,,10317402,good,https://www.immoweb.be/en/classified/apartment/for-sale/gr%C3%A2ce-hollogne/4460/10317402
,Evere,1140,1,apartment,apartment,185000,,1,56,1,,,,,2,,10519471,as new,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10519471
,Jette,1090,,apartment,apartment,210000,isUnderOption,1,75,1,19,,,,2,,10641189,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10641189
,Chaudfontaine,4053,1,apartment,ground floor,199000,,2,75,,,,,,,,10053286,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/chaudfontaine/4053/10053286
,Nieuwpoort,8620,1,apartment,apartment,220000,,1,36,1,10,,,,,,10574368,as new,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/10574368
,Nieuwpoort,8620,1,apartment,apartment,219000,,1,50,1,,,,,,,10460870,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/nieuwpoort/8620/10460870
,Schaerbeek,1030,0,apartment,apartment,200000,,1,56,,,,,,,,10532288,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10532288
,Bruxelles,1000,1,apartment,apartment,220000,isUnderOption,1,52,,,,,,2,,10542374,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10542374
,Saint-Gilles,1060,1,apartment,apartment,240000,,1,46,,,,,,2,,10622677,as new,https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/10622677
,SINT-AMANDS,2890,1,apartment,apartment,240000,,2,81,1,,,,,2,,10600604,,https://www.immoweb.be/en/classified/apartment/for-sale/sint-amands/2890/10600604
,Saint-Gilles,1060,,apartment,apartment,230000,,1,61,1,2,,,,3,,10603545,,https://www.immoweb.be/en/classified/apartment/for-sale/saint-gilles/1060/10603545
,Lendelede,8860,1,apartment,duplex,278500,,2,141,1,7,,,,,,10534625,as new,https://www.immoweb.be/en/classified/duplex/for-sale/lendelede/8860/10534625
,Wavre,1300,1,apartment,apartment,250000,,2,70,,,,,,,,10592590,good,https://www.immoweb.be/en/classified/apartment/for-sale/wavre/1300/10592590
,Ganshoren,1083,1,apartment,apartment,249000,,2,86,1,4,1,100,,2,,10596931,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/10596931
,Forest,1190,0,apartment,apartment,277500,,3,114,,,1,20,,2,,10635339,,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10635339
,Koekelberg,1081,1,apartment,apartment,279000,,2,120,1,25,,,,2,,10516655,as new,https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/10516655
,Ooigem,8710,1,apartment,apartment,280280,,3,117,1,10,,,,,,10636950,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ooigem/8710/10636950
,Herentals,2200,1,apartment,ground floor,285000,,2,101,1,9,,,,2,,10432028,,https://www.immoweb.be/en/classified/ground-floor/for-sale/herentals/2200/10432028
,Evere,1140,1,apartment,ground floor,317000,,1,95,1,29,,,,2,,10565948,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/evere/1140/10565948
,Ixelles,1050,,apartment,apartment,300000,,1,70,,,,,,2,,10611678,to renovate,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10611678
,Kortrijk,8500,1,apartment,apartment,329037,,2,110,,,,,,,,10504018,good,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/10504018
,Ooigem,8710,1,apartment,apartment,313502,,3,117,1,18,,,,,,10491945,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ooigem/8710/10491945
,Forest,1190,0,apartment,apartment,304500,,2,133,1,4,,,,2,,10635337,,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10635337
,Ooigem,8710,1,apartment,apartment,321840,,3,117,1,24,,,,,,10491946,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ooigem/8710/10491946
,Ixelles,1050,,apartment,duplex,335000,,2,75,,,,,,2,,10603599,,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10603599
,Pentagone (Bruxelles),1000,,apartment,apartment,345000,,1,79,1,8,,,,3,,10607188,,https://www.immoweb.be/en/classified/apartment/for-sale/pentagone%20%28bruxelles%29/1000/10607188
,Ixelles,1050,,apartment,apartment,350000,,2,84,1,2,,,,4,,10610693,good,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10610693
,Evere,1140,,apartment,apartment,342000,,2,94,1,16,,,,,,10565632,,https://www.immoweb.be/en/classified/apartment/for-sale/evere/1140/10565632
,Kortrijk,8500,1,apartment,apartment,363293,,2,130,,,,,,,,10504017,good,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/10504017
,Finnevaux (Houyet),5560,,house,country cottage,345000,isUnderOption,3,131,1,60,1,1500,1865,4,,10116359,good,https://www.immoweb.be/en/classified/country-cottage/for-sale/finnevaux%20%28houyet%29/5560/10116359
,Ixelles,1050,1,apartment,apartment,370000,,2,93,,,,,,2,,10582084,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10582084
,Waregem,8790,1,house,house,340000,,3,101,1,,,,151,,,10639819,as new,https://www.immoweb.be/en/classified/house/for-sale/waregem/8790/10639819
,Sint-Pieters-Leeuw,1600,1,house,house,349000,isUnderOption,4,130,,,1,90,195,,,10611226,just renovated,https://www.immoweb.be/en/classified/house/for-sale/sint-pieters-leeuw/1600/10611226
,Marchin,4570,,house,country cottage,349000,,3,145,1,,1,1400,1746,4,,10463395,good,https://www.immoweb.be/en/classified/country-cottage/for-sale/marchin/4570/10463395
,Gistel,8470,1,house,house,360000,,3,150,1,,,,349,,,10603374,as new,https://www.immoweb.be/en/classified/house/for-sale/gistel/8470/10603374
,Ieper,8900,1,house,house,349000,,3,218,,,1,160,262,,,10611015,to be done up,https://www.immoweb.be/en/classified/house/for-sale/ieper/8900/10611015
,Jalhay,4845,1,house,villa,349000,isUnderOption,4,219,1,50,1,1886,2537,,,10399271,good,https://www.immoweb.be/en/classified/villa/for-sale/jalhay/4845/10399271
,Wanze,4520,,house,apartment block,350000,,2,117,1,,,,1897,4,,10464809,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/wanze/4520/10464809
,Knokke-Heist,8301,1,house,house,359000,,3,135,1,,,,146,,,10621814,good,https://www.immoweb.be/en/classified/house/for-sale/knokke-heist/8301/10621814
,Herzele,9550,1,house,house,349000,isUnderOption,4,150,1,50,1,300,468,,,10405651,good,https://www.immoweb.be/en/classified/house/for-sale/herzele/9550/10405651
,Harelbeke,8530,1,house,house,360000,,3,153,1,,,,931,,,10367756,to be done up,https://www.immoweb.be/en/classified/house/for-sale/harelbeke/8530/10367756
,Nandrin,4550,1,house,villa,368000,isUnderOption,2,169,1,92,1,1800,2014,,,10418320,good,https://www.immoweb.be/en/classified/villa/for-sale/nandrin/4550/10418320
,Balen,2491,1,house,house,369000,,3,147,1,,,,360,,,10606474,good,https://www.immoweb.be/en/classified/house/for-sale/balen/2491/10606474
,Tienen,3300,1,house,house,365000,,4,160,1,,,,1013,,,10524954,good,https://www.immoweb.be/en/classified/house/for-sale/tienen/3300/10524954
,Affligem,1790,1,house,house,374000,,3,145,1,15,1,100,212,,,10600226,good,https://www.immoweb.be/en/classified/house/for-sale/affligem/1790/10600226
,Denderhoutem,9450,1,house,house,379000,isUnderOption,3,208,1,37,1,1100,1228,,,10577553,good,https://www.immoweb.be/en/classified/house/for-sale/denderhoutem/9450/10577553
,Lendelede,8860,1,house,villa,375000,,3,240,1,,,,1116,,,10624047,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/lendelede/8860/10624047
,Brugge,8000,,house,house,375000,,3,308,,,,,193,2,,10468308,to renovate,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/10468308
,Bredene,8450,1,house,house,369000,isUnderOption,3,149,1,,,,216,,,10627626,good,https://www.immoweb.be/en/classified/house/for-sale/bredene/8450/10627626
,Huy,4500,,house,apartment block,380000,,5,180,1,,,,112,2,,10462965,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/huy/4500/10462965
,Beez,5000,1,house,exceptional property,399000,,2,156,1,100,,,0,4,,10523075,good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/beez/5000/10523075
,Aalst,9300,1,house,house,398000,isUnderOption,3,200,1,30,1,60,230,,,10335507,good,https://www.immoweb.be/en/classified/house/for-sale/aalst/9300/10335507
,STAMBRUGES,7973,1,house,house,395000,isUnderOption,4,155,1,,,,11699,4,,10095125,good,https://www.immoweb.be/en/classified/house/for-sale/stambruges/7973/10095125
,Nieuwerkerken,9320,1,house,house,387000,isUnderOption,3,150,1,15,1,90,150,,,10561815,as new,https://www.immoweb.be/en/classified/house/for-sale/nieuwerkerken/9320/10561815
,Sint-Michiels,8200,,house,house,389000,,2,115,,,,,785,3,,10586422,to renovate,https://www.immoweb.be/en/classified/house/for-sale/sint-michiels/8200/10586422
,Oreye,4360,1,house,house,399000,,5,361,1,,,,417,,,10475734,good,https://www.immoweb.be/en/classified/house/for-sale/oreye/4360/10475734
,Faimes,4317,1,house,villa,399000,isUnderOption,3,150,1,25,1,800,1292,,,10024369,as new,https://www.immoweb.be/en/classified/villa/for-sale/faimes/4317/10024369
,Erpe-Mere,9420,1,house,house,398000,isUnderOption,3,222,1,35,1,500,670,,,10611990,as new,https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/10611990
,Bastogne,6600,,house,house,399000,,6,350,,,,,155,3,,10499457,,https://www.immoweb.be/en/classified/house/for-sale/bastogne/6600/10499457
,Berlaar,2590,1,apartment,apartment,370000,,2,98,1,23,1,31,,2,,10454437,,https://www.immoweb.be/en/classified/apartment/for-sale/berlaar/2590/10454437
,Oreye,4360,1,house,house,399000,,5,361,1,,,,417,,,10556084,good,https://www.immoweb.be/en/classified/house/for-sale/oreye/4360/10556084
,Brussels City,1000,1,apartment,apartment,372000,,2,97,1,9,,,,4,,10604040,as new,https://www.immoweb.be/en/classified/apartment/for-sale/brussels%20city/1000/10604040
,HACHY,6720,,apartment,apartment,384000,,5,245,1,38,,,,3,,10380241,,https://www.immoweb.be/en/classified/apartment/for-sale/hachy/6720/10380241
,HACHY,6720,,apartment,apartment,384000,,5,245,1,38,,,,3,,10380243,,https://www.immoweb.be/en/classified/apartment/for-sale/hachy/6720/10380243
,Schaerbeek,1030,1,apartment,apartment,375000,isUnderOption,1,100,1,6,,,,2,,10499009,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10499009
,Berlaar,2590,1,apartment,apartment,380000,,3,101,1,34,1,32,,2,,10454438,,https://www.immoweb.be/en/classified/apartment/for-sale/berlaar/2590/10454438
,Bruxelles,1020,1,apartment,loft,395000,,2,140,1,,,,,3,,10641194,good,https://www.immoweb.be/en/classified/loft/for-sale/bruxelles/1020/10641194
,Dendermonde,9200,1,apartment,service flat,399000,,1,77,,,,,,2,,10586725,just renovated,https://www.immoweb.be/en/classified/service-flat/for-sale/dendermonde/9200/10586725
,Ixelles,1050,1,apartment,apartment,395000,,1,80,,,,,,2,,10590508,as new,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/10590508
,Ottignies-Louvain-la-Neuve,1340,1,apartment,apartment,445000,isUnderOption,2,165,1,6,1,300,,,,10259291,good,https://www.immoweb.be/en/classified/apartment/for-sale/ottignies-louvain-la-neuve/1340/10259291
,Dendermonde,9200,1,apartment,service flat,399000,,1,77,,,,,,2,,10591943,just renovated,https://www.immoweb.be/en/classified/service-flat/for-sale/dendermonde/9200/10591943
,Bruxelles,1000,1,apartment,apartment,498000,,2,85,1,18,,,,2,,10530220,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10530220
,Uccle,1180,1,apartment,apartment,495000,,2,130,1,20,,,,2,,10622681,as new,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10622681
,Uccle,1180,1,apartment,penthouse,455000,,2,106,1,44,,,,4,,10636183,good,https://www.immoweb.be/en/classified/penthouse/for-sale/uccle/1180/10636183
,SINT-ANTONIUS,2980,1,apartment,apartment,499000,,2,120,1,,,,,,,10507695,,https://www.immoweb.be/en/classified/apartment/for-sale/sint-antonius/2980/10507695
,Oudergem,1160,1,apartment,apartment,415000,,2,84,1,4,,,,2,,10640580,,https://www.immoweb.be/en/classified/apartment/for-sale/oudergem/1160/10640580
,Antwerp,2000,1,apartment,apartment,520000,,1,75,1,11,,,,2,,10522786,as new,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2000/10522786
,La Hulpe,1310,1,apartment,duplex,558000,,2,115,1,6,,,,4,,10606402,as new,https://www.immoweb.be/en/classified/duplex/for-sale/la%20hulpe/1310/10606402
,De Haan,8420,1,apartment,apartment,635000,,3,146,1,13,,,,2,,10463246,as new,https://www.immoweb.be/en/classified/apartment/for-sale/de%20haan/8420/10463246
,Gent,9000,1,apartment,loft,660000,isUnderOption,2,201,1,11,,,,,,10345260,,https://www.immoweb.be/en/classified/loft/for-sale/gent/9000/10345260
,Brugge,8000,1,apartment,penthouse,1195000,,3,,,,,,,3,,10601660,good,https://www.immoweb.be/en/classified/penthouse/for-sale/brugge/8000/10601660
,Assebroek,8310,1,apartment,penthouse,1195000,,3,,,,,,,3,,10601659,good,https://www.immoweb.be/en/classified/penthouse/for-sale/assebroek/8310/10601659
,Lebbeke,9280,1,apartment,apartment,140000,,1,62,,,,,,2,,10660357,good,https://www.immoweb.be/en/classified/apartment/for-sale/lebbeke/9280/10660357
,Uccle,1180,1,apartment,apartment,1950000,,4,320,1,110,,,,2,,10376902,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10376902
,Woluwe-Saint-Pierre,1150,1,apartment,penthouse,1230000,,3,210,1,54,,,,,,10557345,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-pierre/1150/10557345
,Lebbeke,9280,1,apartment,apartment,160000,,2,70,1,2,,,,2,,10660356,good,https://www.immoweb.be/en/classified/apartment/for-sale/lebbeke/9280/10660356
,Berlaar,2590,1,apartment,apartment,199000,,2,131,1,,,,,,,10659845,,https://www.immoweb.be/en/classified/apartment/for-sale/berlaar/2590/10659845
,Uccle,1180,0,apartment,apartment,235000,,1,70,1,4,,,,,,10660429,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10660429
,Kortrijk,8500,1,house,mansion,399000,isUnderOption,5,285,1,,,,236,,,10520825,to be done up,https://www.immoweb.be/en/classified/mansion/for-sale/kortrijk/8500/10520825
,Merelbeke,9820,,apartment,apartment,245000,,2,73,1,,,,,3,,10663027,as new,https://www.immoweb.be/en/classified/apartment/for-sale/merelbeke/9820/10663027
,De Haan,8420,1,house,house,399000,,8,565,,,,,248,,,10497274,good,https://www.immoweb.be/en/classified/house/for-sale/de%20haan/8420/10497274
,Antwerp,2018,1,house,house,425000,isUnderOption,7,250,,,1,54,175,2,,10006023,to be done up,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2018/10006023
,Ichtegem,8480,1,house,mixed use building,399000,,4,556,,,,,1448,3,,10638372,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/ichtegem/8480/10638372
,Namur,5100,1,house,villa,399999,,5,254,1,33,1,1077,1331,,,10334221,to be done up,https://www.immoweb.be/en/classified/villa/for-sale/namur/5100/10334221
,Gooik,1755,,apartment,duplex,295000,,3,119,1,,,,,,,10662412,good,https://www.immoweb.be/en/classified/duplex/for-sale/gooik/1755/10662412
,Oudenaarde,9700,1,house,house,415000,,5,220,,,,,1017,,,10556045,,https://www.immoweb.be/en/classified/house/for-sale/oudenaarde/9700/10556045
,Erembodegem,9320,1,house,house,425000,isUnderOption,4,242,1,50,1,90,259,,,9967283,good,https://www.immoweb.be/en/classified/house/for-sale/erembodegem/9320/9967283
,Erembodegem,9320,1,house,house,419000,isUnderOption,4,215,1,15,1,150,357,,,10495979,as new,https://www.immoweb.be/en/classified/house/for-sale/erembodegem/9320/10495979
,Maldegem,9990,1,house,house,409000,,4,311,1,20,1,100,255,,,10330995,good,https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/10330995
,Herzele,9550,1,house,house,439000,isUnderOption,3,260,,,1,130,288,,,10363313,as new,https://www.immoweb.be/en/classified/house/for-sale/herzele/9550/10363313
,Welle,9473,1,house,house,445000,isUnderOption,3,150,1,20,1,100,253,,,10172287,as new,https://www.immoweb.be/en/classified/house/for-sale/welle/9473/10172287
,Liege,4000,,house,mixed use building,450000,,1,175,,,,,50,2,,10565848,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/liege/4000/10565848
,Zottegem,9620,1,house,villa,439000,isUnderOption,3,200,1,,,,1209,,,10597678,as new,https://www.immoweb.be/en/classified/villa/for-sale/zottegem/9620/10597678
,SINT-PIETERS-LEEUW,1602,1,house,bungalow,459000,isUnderOption,3,130,,,,,0,4,,10592307,to renovate,https://www.immoweb.be/en/classified/bungalow/for-sale/sint-pieters-leeuw/1602/10592307
,Ormeignies,7802,1,house,house,470000,,5,234,,,,,1993,,,10639347,good,https://www.immoweb.be/en/classified/house/for-sale/ormeignies/7802/10639347
,Blankenberge,8370,1,house,villa,475000,,3,185,1,,,,496,,,10424129,good,https://www.immoweb.be/en/classified/villa/for-sale/blankenberge/8370/10424129
,Zottegem,9620,1,house,house,459000,isUnderOption,3,190,1,,,,503,,,10620481,good,https://www.immoweb.be/en/classified/house/for-sale/zottegem/9620/10620481
,Blegny,4671,1,house,villa,445000,,3,187,1,50,,,889,,,10640212,good,https://www.immoweb.be/en/classified/villa/for-sale/blegny/4671/10640212
,La Roche-en-Ardenne,6980,1,house,villa,469000,,3,278,1,,,,1063,,,10478171,good,https://www.immoweb.be/en/classified/villa/for-sale/la%20roche-en-ardenne/6980/10478171
,Assebroek,8310,1,house,house,470000,,5,230,1,,,,237,,1,10360909,good,https://www.immoweb.be/en/classified/house/for-sale/assebroek/8310/10360909
,Kortrijk,8500,1,house,house,469000,isUnderOption,4,252,1,,,,202,,,10504318,as new,https://www.immoweb.be/en/classified/house/for-sale/kortrijk/8500/10504318
,De Haan,8420,1,house,villa,475000,,4,221,1,,,,790,,,10578873,,https://www.immoweb.be/en/classified/villa/for-sale/de%20haan/8420/10578873
,Mol,2400,1,house,house,459000,,4,281,1,,,,450,,,10515888,to be done up,https://www.immoweb.be/en/classified/house/for-sale/mol/2400/10515888
,Dottignies,7711,1,house,house,475000,,3,200,,,1,500,690,4,,10532295,just renovated,https://www.immoweb.be/en/classified/house/for-sale/dottignies/7711/10532295
,Komen-Waasten,7780,1,house,house,479000,,4,168,1,,,,440,,,10392322,good,https://www.immoweb.be/en/classified/house/for-sale/komen-waasten/7780/10392322
,Marche-en-Famenne,6900,0,house,mixed use building,450000,,0,419,,,,,339,3,,10409938,to renovate,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/marche-en-famenne/6900/10409938
,Sint-Lievens-Houtem,9520,1,house,farmhouse,479000,isUnderOption,4,264,1,170,1,1600,2828,,,10342026,to be done up,https://www.immoweb.be/en/classified/farmhouse/for-sale/sint-lievens-houtem/9520/10342026
,Komen-Waasten,7780,1,house,house,479000,,4,168,1,,,,440,,,10592179,good,https://www.immoweb.be/en/classified/house/for-sale/komen-waasten/7780/10592179
,Leuven,3000,1,house,house,475000,,3,145,1,,,,122,,,10616931,good,https://www.immoweb.be/en/classified/house/for-sale/leuven/3000/10616931
,Kortrijk,8510,,house,villa,475000,,4,294,1,,,,827,4,,10634140,to renovate,https://www.immoweb.be/en/classified/villa/for-sale/kortrijk/8510/10634140
,Antwerp,2018,1,apartment,penthouse,599000,,3,165,1,14,,,,2,,10660369,as new,https://www.immoweb.be/en/classified/penthouse/for-sale/antwerp/2018/10660369
,Kallo,9120,1,apartment,ground floor,335000,,3,125,1,80,,,,3,,10660348,just renovated,https://www.immoweb.be/en/classified/ground-floor/for-sale/kallo/9120/10660348
,Oud-Heverlee Haasrode,3053,1,apartment,apartment,379000,,2,113,1,,,,,2,,10660387,good,https://www.immoweb.be/en/classified/apartment/for-sale/oud-heverlee%20haasrode/3053/10660387
,Seraing,4100,1,apartment,apartment,165000,,1,60,1,,,,,2,,10645618,as new,https://www.immoweb.be/en/classified/apartment/for-sale/seraing/4100/10645618
,Auderghem,1160,,apartment,penthouse,155000,,1,37,1,20,,,,2,,10645609,to renovate,https://www.immoweb.be/en/classified/penthouse/for-sale/auderghem/1160/10645609
,Ixelles,1050,1,apartment,duplex,475000,,2,120,1,14,,,,2,,10645538,good,https://www.immoweb.be/en/classified/duplex/for-sale/ixelles/1050/10645538
,Oostende,8400,1,apartment,ground floor,117000,,2,39,,,,,,,,10548715,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/oostende/8400/10548715
,Vilvoorde,1800,1,apartment,apartment,349000,isUnderOption,2,100,1,6,,,,2,,10646248,good,https://www.immoweb.be/en/classified/apartment/for-sale/vilvoorde/1800/10646248
,Knokke-Heist,8300,,apartment,apartment,995000,,3,92,1,,,,,3,,10645670,as new,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10645670
,Westende,8434,,apartment,flat studio,89000,,0,29,,,,,,2,,10667509,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/westende/8434/10667509
,Hasselt,3511,,apartment,apartment,195000,,2,89,1,,,,,2,,10667607,good,https://www.immoweb.be/en/classified/apartment/for-sale/hasselt/3511/10667607
,Waterloo,1410,1,apartment,apartment,436150,,2,,1,24,1,202,,,,10668938,as new,https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/10668938
,Louvain-La-Neuve,1348,1,apartment,apartment,389000,,2,96,1,5,,,,,,10655683,,https://www.immoweb.be/en/classified/apartment/for-sale/louvain-la-neuve/1348/10655683
,Aalst,9300,1,apartment,apartment,160000,,1,76,1,,,,,,,10653527,as new,https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/10653527
,Wondelgem,9032,,apartment,apartment,199000,,2,86,,,,,,,,10666267,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/wondelgem/9032/10666267
,Gent,9000,,apartment,apartment,199000,,2,86,,,,,,,,10666266,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/10666266
,Blankenberge,8370,1,apartment,apartment,495000,,3,97,1,1,,,,2,,10666958,as new,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10666958
,Antwerpen,2140,1,apartment,apartment,179000,,1,90,1,6,,,,2,,10627512,good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2140/10627512
,Waterloo,1410,1,apartment,apartment,299000,,2,94,1,11,,,,3,,10651795,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/waterloo/1410/10651795
,BRUXELLES,1000,1,apartment,apartment,199000,,1,65,,,,,,,,10666474,,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10666474
,Knokke-Heist,8300,1,apartment,apartment,635000,,3,93,1,,,,,2,,10561281,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10561281
,Ham,3945,1,apartment,apartment,252000,,2,94,1,14,1,160,,2,,10617574,,https://www.immoweb.be/en/classified/apartment/for-sale/ham/3945/10617574
,Jette,1090,1,apartment,apartment,275500,,1,81,1,8,,,,4,,10653067,,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10653067
,Ham,3945,1,apartment,ground floor,252000,,2,94,1,14,1,160,,2,,10617575,,https://www.immoweb.be/en/classified/ground-floor/for-sale/ham/3945/10617575
,KWAADMECHELEN,3945,1,apartment,apartment,245000,,2,90,1,14,1,75,,2,,10552088,,https://www.immoweb.be/en/classified/apartment/for-sale/kwaadmechelen/3945/10552088
,Écaussinnes,7190,1,apartment,apartment,256565,,2,106,1,15,1,85,,,,10391891,as new,https://www.immoweb.be/en/classified/apartment/for-sale/%C3%89caussinnes/7190/10391891
,Bastogne,6600,,house,house,495000,,4,284,,,,,1,2,,10445476,,https://www.immoweb.be/en/classified/house/for-sale/bastogne/6600/10445476
,Herzele,9550,1,house,villa,495000,isUnderOption,5,238,1,135,1,710,1200,,,10309361,as new,https://www.immoweb.be/en/classified/villa/for-sale/herzele/9550/10309361
,Blankenberge,8370,1,house,villa,525000,,5,290,1,20,1,600,737,,,10368361,good,https://www.immoweb.be/en/classified/villa/for-sale/blankenberge/8370/10368361
,Avelgem,8580,1,house,house,500000,,2,140,1,10,,,0,2,,10532168,to be done up,https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/10532168
,Rebecq-Rognon,1430,1,apartment,apartment,169500,isUnderOption,1,60,1,11,,,,3,,10467653,as new,https://www.immoweb.be/en/classified/apartment/for-sale/rebecq-rognon/1430/10467653
,Ottignies-Louvain-la-Neuve,1340,1,house,house,495000,isUnderOption,7,312,1,,,,731,,,10342142,to renovate,https://www.immoweb.be/en/classified/house/for-sale/ottignies-louvain-la-neuve/1340/10342142
